telemetry,mgmt-framework,snmp,lldp,pmon,radv,syncd,teamd,bgp,swss,database,System CPU%,Time
1.37,0.03,4.47,0.07,5.88,0.04,12.81,0.1,0.13,0.22,7.84,10.1,Wed 14 Dec 2022 01:01:34 PM UTC
1.63,0.03,0.15,0.05,12.44,0.03,12.9,0.07,0.09,0.22,9.39,2.9,Wed 14 Dec 2022 01:01:46 PM UTC
