Fantray1_1,Fantray2_1,Fantray3_1,PSU1_FAN1,PSU2_FAN1,Time
40,40,40,29,28,Wed 14 Dec 2022 01:01:34 PM UTC
40,40,40,29,27,Wed 14 Dec 2022 01:01:46 PM UTC
