Ethernet0 RX-OX,Ethernet0 TX-OX,Ethernet1 RX-OX,Ethernet1 TX-OX,Ethernet2 RX-OX,Ethernet2 TX-OX,Ethernet3 RX-OX,Ethernet3 TX-OX,Ethernet4 RX-OX,Ethernet4 TX-OX,Ethernet5 RX-OX,Ethernet5 TX-OX,Ethernet6 RX-OX,Ethernet6 TX-OX,Ethernet7 RX-OX,Ethernet7 TX-OX,Ethernet8 RX-OX,Ethernet8 TX-OX,Ethernet9 RX-OX,Ethernet9 TX-OX,Ethernet10 RX-OX,Ethernet10 TX-OX,Ethernet11 RX-OX,Ethernet11 TX-OX,Ethernet12 RX-OX,Ethernet12 TX-OX,Ethernet13 RX-OX,Ethernet13 TX-OX,Ethernet14 RX-OX,Ethernet14 TX-OX,Ethernet15 RX-OX,Ethernet15 TX-OX,Ethernet16 RX-OX,Ethernet16 TX-OX,Ethernet17 RX-OX,Ethernet17 TX-OX,Ethernet18 RX-OX,Ethernet18 TX-OX,Ethernet19 RX-OX,Ethernet19 TX-OX,Ethernet20 RX-OX,Ethernet20 TX-OX,Ethernet21 RX-OX,Ethernet21 TX-OX,Ethernet22 RX-OX,Ethernet22 TX-OX,Ethernet23 RX-OX,Ethernet23 TX-OX,Ethernet24 RX-OX,Ethernet24 TX-OX,Ethernet25 RX-OX,Ethernet25 TX-OX,Ethernet26 RX-OX,Ethernet26 TX-OX,Ethernet27 RX-OX,Ethernet27 TX-OX,Ethernet28 RX-OX,Ethernet28 TX-OX,Ethernet29 RX-OX,Ethernet29 TX-OX,Ethernet30 RX-OX,Ethernet30 TX-OX,Ethernet31 RX-OX,Ethernet31 TX-OX,Ethernet32 RX-OX,Ethernet32 TX-OX,Ethernet33 RX-OX,Ethernet33 TX-OX,Ethernet34 RX-OX,Ethernet34 TX-OX,Ethernet35 RX-OX,Ethernet35 TX-OX,Ethernet36 RX-OX,Ethernet36 TX-OX,Ethernet37 RX-OX,Ethernet37 TX-OX,Ethernet38 RX-OX,Ethernet38 TX-OX,Ethernet39 RX-OX,Ethernet39 TX-OX,Ethernet40 RX-OX,Ethernet40 TX-OX,Ethernet41 RX-OX,Ethernet41 TX-OX,Ethernet42 RX-OX,Ethernet42 TX-OX,Ethernet43 RX-OX,Ethernet43 TX-OX,Ethernet44 RX-OX,Ethernet44 TX-OX,Ethernet45 RX-OX,Ethernet45 TX-OX,Ethernet46 RX-OX,Ethernet46 TX-OX,Ethernet47 RX-OX,Ethernet47 TX-OX,Ethernet48 RX-OX,Ethernet48 TX-OX,Ethernet49 RX-OX,Ethernet49 TX-OX,Ethernet50 RX-OX,Ethernet50 TX-OX,Ethernet51 RX-OX,Ethernet51 TX-OX,Ethernet52 RX-OX,Ethernet52 TX-OX,Ethernet53 RX-OX,Ethernet53 TX-OX,Ethernet54 RX-OX,Ethernet54 TX-OX,Ethernet55 RX-OX,Ethernet55 TX-OX,Time
1933018873,6796483390,39230,39232,39229,39232,39229,39232,39228,39232,39231,39232,39229,39232,39229,39232,1773944,38383,1752641,38383,914845,38383,1608307,38383,1585615,38383,1570191,38383,844649,38383,1194403,38383,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39231,39232,39229,39232,39229,39232,39229,39232,39229,39232,39231,39232,39229,39232,39231,39232,633799,38382,602825,38382,597965,38382,585971,38382,566221,38382,545086,38381,518196,38382,506726,38382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258682,912326521,0,22158,0,0,0,0,39227,39232,0,0,39229,39232,189340,38378,Fri 25 Nov 2022 10:30:02 AM UTC
1933018881,6796483397,39231,39233,39230,39233,39230,39233,39229,39233,39232,39233,39230,39233,39230,39233,1773956,38384,1752654,38384,914853,38384,1608318,38384,1585627,38384,1570199,38384,844657,38384,1194416,38384,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39232,39233,39230,39233,39230,39233,39230,39233,39230,39233,39232,39233,39230,39233,39232,39233,633810,38383,602835,38383,597975,38383,585981,38383,566233,38383,545095,38382,518208,38383,506738,38383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258683,912326528,0,22159,0,0,0,0,39228,39233,0,0,39230,39233,189350,38379,Fri 25 Nov 2022 10:30:22 AM UTC
1933018883,6796483399,39231,39233,39230,39233,39230,39233,39229,39233,39232,39233,39230,39233,39230,39233,1773963,38384,1752660,38384,914864,38384,1608326,38384,1585634,38384,1570210,38384,844668,38384,1194423,38384,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39232,39233,39230,39233,39230,39233,39230,39233,39230,39233,39232,39233,39230,39233,39232,39233,633818,38383,602845,38383,597985,38383,585990,38383,566241,38383,545105,38382,518216,38383,506746,38383,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258683,912326530,0,22159,0,0,0,0,39228,39233,0,0,39230,39233,189360,38379,Fri 25 Nov 2022 10:30:42 AM UTC
1933018886,6796483402,39232,39234,39231,39234,39231,39234,39230,39234,39233,39234,39231,39234,39231,39234,1773975,38385,1752673,38385,914873,38385,1608338,38385,1585646,38385,1570219,38385,844677,38385,1194435,38385,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39233,39234,39231,39234,39231,39234,39231,39234,39231,39234,39233,39234,39231,39234,39233,39234,633830,38384,602854,38384,597994,38384,586001,38384,566252,38384,545115,38383,518227,38384,506757,38384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258683,912326533,0,22160,0,0,0,0,39229,39234,0,0,39231,39234,189369,38380,Fri 25 Nov 2022 10:31:02 AM UTC
1933018894,6796483409,39233,39235,39232,39235,39232,39235,39231,39235,39234,39235,39232,39235,39232,39235,1773983,38386,1752681,38386,914884,38386,1608346,38386,1585654,38386,1570230,38386,844688,38386,1194444,38386,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39234,39235,39232,39235,39232,39235,39232,39235,39232,39235,39234,39235,39232,39235,39234,39235,633838,38385,602867,38385,598007,38385,586010,38385,566262,38385,545125,38384,518238,38385,506768,38385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258683,912326537,0,22161,0,0,0,0,39230,39235,0,0,39232,39235,189382,38381,Fri 25 Nov 2022 10:31:23 AM UTC
1933018896,6796483411,39233,39235,39232,39235,39232,39235,39231,39235,39234,39235,39232,39235,39232,39235,1773995,38386,1752692,38386,914893,38386,1608358,38386,1585666,38386,1570239,38386,844697,38386,1194454,38386,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39235,39236,39233,39236,39233,39236,39233,39236,39233,39236,39235,39236,39233,39236,39235,39236,633850,38385,602873,38385,598013,38385,586022,38385,566271,38385,545136,38384,518246,38385,506776,38385,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258683,912326540,0,22162,0,0,0,0,39231,39236,0,0,39233,39236,189388,38381,Fri 25 Nov 2022 10:31:43 AM UTC
1933018899,6796483414,39234,39236,39233,39236,39233,39236,39232,39236,39235,39236,39233,39236,39233,39236,1774002,38387,1752701,38387,914903,38387,1608365,38387,1585673,38387,1570249,38387,844707,38387,1194464,38387,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39235,39236,39233,39236,39233,39236,39233,39236,39233,39236,39235,39236,39233,39236,39235,39236,633857,38386,602886,38386,598026,38386,586029,38386,566281,38386,545144,38385,518256,38386,506786,38386,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258683,912326542,0,22162,0,0,0,0,39231,39236,0,0,39233,39236,189401,38382,Fri 25 Nov 2022 10:32:03 AM UTC
1933018904,6796483418,39235,39237,39234,39237,39234,39237,39233,39237,39236,39237,39234,39237,39234,39237,1774015,38388,1752712,38388,914915,38388,1608378,38388,1585686,38388,1570261,38388,844719,38388,1194474,38388,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39236,39237,39234,39237,39234,39237,39234,39237,39234,39237,39236,39237,39234,39237,39236,39237,633870,38387,602894,38387,598034,38387,586042,38387,566291,38387,545157,38386,518266,38387,506796,38387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258683,912326545,0,22163,0,0,0,0,39232,39237,0,0,39234,39237,189409,38383,Fri 25 Nov 2022 10:32:23 AM UTC
1933018906,6796483420,39235,39237,39234,39237,39234,39237,39233,39237,39236,39237,39234,39237,39234,39237,1774022,38388,1752721,38388,914922,38388,1608385,38388,1585693,38388,1570268,38388,844726,38388,1194484,38388,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39236,39237,39234,39237,39234,39237,39234,39237,39234,39237,39236,39237,39234,39237,39236,39237,633877,38387,602905,38387,598045,38387,586048,38387,566301,38387,545163,38386,518276,38387,506806,38387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258683,912326547,0,22163,0,0,0,0,39232,39237,0,0,39234,39237,189420,38383,Fri 25 Nov 2022 10:32:43 AM UTC
1933018909,6796483423,39236,39238,39235,39238,39235,39238,39234,39238,39237,39238,39235,39238,39235,39238,1774034,38389,1752731,38389,914935,38389,1608397,38389,1585705,38389,1570281,38389,844739,38389,1194493,38389,511408801,1022850712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39237,39238,39235,39238,39235,39238,39235,39238,39235,39238,39237,39238,39235,39238,39237,39238,633889,38388,602915,38388,598055,38388,586061,38388,566310,38388,545176,38387,518285,38388,506815,38388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6316258683,912326550,0,22164,0,0,0,0,39233,39238,0,0,39235,39238,189430,38384,Fri 25 Nov 2022 10:33:04 AM UTC
