Time,Total,Used,Free,Other
Thu 15 Dec 2022 12:44:05 PM UTC,3578.0,2123.0,149.0,1306.0
Thu 15 Dec 2022 12:44:16 PM UTC,3578.0,2124.0,148.0,1306.0
Thu 15 Dec 2022 12:44:27 PM UTC,3578.0,2127.0,145.0,1306.0
Thu 15 Dec 2022 12:44:38 PM UTC,3578.0,2156.0,134.0,1288.0
Thu 15 Dec 2022 12:44:49 PM UTC,3578.0,2164.0,125.0,1289.0
Thu 15 Dec 2022 12:45:01 PM UTC,3578.0,2134.0,154.0,1290.0
Thu 15 Dec 2022 12:45:12 PM UTC,3578.0,2134.0,154.0,1290.0
Thu 15 Dec 2022 12:45:23 PM UTC,3578.0,2132.0,157.0,1289.0
Thu 15 Dec 2022 12:45:34 PM UTC,3578.0,2133.0,155.0,1290.0
Thu 15 Dec 2022 12:45:46 PM UTC,3578.0,2134.0,154.0,1290.0
Thu 15 Dec 2022 12:45:56 PM UTC,3578.0,2157.0,174.0,1247.0
Thu 15 Dec 2022 12:46:08 PM UTC,3578.0,2139.0,192.0,1247.0
Thu 15 Dec 2022 12:46:19 PM UTC,3578.0,2135.0,196.0,1247.0
Thu 15 Dec 2022 12:46:30 PM UTC,3578.0,2135.0,196.0,1247.0
Thu 15 Dec 2022 12:46:41 PM UTC,3578.0,2137.0,194.0,1247.0
Thu 15 Dec 2022 12:46:52 PM UTC,3578.0,2137.0,194.0,1247.0
Thu 15 Dec 2022 12:47:04 PM UTC,3578.0,2138.0,193.0,1247.0
Thu 15 Dec 2022 12:47:15 PM UTC,3578.0,2136.0,195.0,1247.0
Thu 15 Dec 2022 12:47:26 PM UTC,3578.0,2135.0,195.0,1248.0
Thu 15 Dec 2022 12:47:37 PM UTC,3578.0,2138.0,192.0,1248.0
Thu 15 Dec 2022 12:47:49 PM UTC,3578.0,2165.0,165.0,1248.0
Thu 15 Dec 2022 12:48:00 PM UTC,3578.0,2152.0,178.0,1248.0
Thu 15 Dec 2022 12:48:11 PM UTC,3578.0,2137.0,192.0,1249.0
Thu 15 Dec 2022 12:48:22 PM UTC,3578.0,2134.0,196.0,1248.0
Thu 15 Dec 2022 12:48:34 PM UTC,3578.0,2137.0,193.0,1248.0
Thu 15 Dec 2022 12:48:45 PM UTC,3578.0,2135.0,195.0,1248.0
Thu 15 Dec 2022 12:48:57 PM UTC,3578.0,2163.0,166.0,1249.0
Thu 15 Dec 2022 12:49:08 PM UTC,3578.0,2136.0,193.0,1249.0
Thu 15 Dec 2022 12:49:20 PM UTC,3578.0,2134.0,196.0,1248.0
Thu 15 Dec 2022 12:49:31 PM UTC,3578.0,2136.0,194.0,1248.0
