Ethernet0 RX-OX,Ethernet0 TX-OX,Ethernet1 RX-OX,Ethernet1 TX-OX,Ethernet2 RX-OX,Ethernet2 TX-OX,Ethernet3 RX-OX,Ethernet3 TX-OX,Ethernet4 RX-OX,Ethernet4 TX-OX,Ethernet5 RX-OX,Ethernet5 TX-OX,Ethernet6 RX-OX,Ethernet6 TX-OX,Ethernet7 RX-OX,Ethernet7 TX-OX,Ethernet8 RX-OX,Ethernet8 TX-OX,Ethernet9 RX-OX,Ethernet9 TX-OX,Ethernet10 RX-OX,Ethernet10 TX-OX,Ethernet11 RX-OX,Ethernet11 TX-OX,Ethernet12 RX-OX,Ethernet12 TX-OX,Ethernet13 RX-OX,Ethernet13 TX-OX,Ethernet14 RX-OX,Ethernet14 TX-OX,Ethernet15 RX-OX,Ethernet15 TX-OX,Ethernet16 RX-OX,Ethernet16 TX-OX,Ethernet17 RX-OX,Ethernet17 TX-OX,Ethernet18 RX-OX,Ethernet18 TX-OX,Ethernet19 RX-OX,Ethernet19 TX-OX,Ethernet20 RX-OX,Ethernet20 TX-OX,Ethernet21 RX-OX,Ethernet21 TX-OX,Ethernet22 RX-OX,Ethernet22 TX-OX,Ethernet23 RX-OX,Ethernet23 TX-OX,Ethernet24 RX-OX,Ethernet24 TX-OX,Ethernet25 RX-OX,Ethernet25 TX-OX,Ethernet26 RX-OX,Ethernet26 TX-OX,Ethernet27 RX-OX,Ethernet27 TX-OX,Ethernet28 RX-OX,Ethernet28 TX-OX,Ethernet29 RX-OX,Ethernet29 TX-OX,Ethernet30 RX-OX,Ethernet30 TX-OX,Ethernet31 RX-OX,Ethernet31 TX-OX,Ethernet32 RX-OX,Ethernet32 TX-OX,Ethernet33 RX-OX,Ethernet33 TX-OX,Ethernet34 RX-OX,Ethernet34 TX-OX,Ethernet35 RX-OX,Ethernet35 TX-OX,Ethernet36 RX-OX,Ethernet36 TX-OX,Ethernet37 RX-OX,Ethernet37 TX-OX,Ethernet38 RX-OX,Ethernet38 TX-OX,Ethernet39 RX-OX,Ethernet39 TX-OX,Ethernet40 RX-OX,Ethernet40 TX-OX,Ethernet41 RX-OX,Ethernet41 TX-OX,Ethernet42 RX-OX,Ethernet42 TX-OX,Ethernet43 RX-OX,Ethernet43 TX-OX,Ethernet44 RX-OX,Ethernet44 TX-OX,Ethernet45 RX-OX,Ethernet45 TX-OX,Ethernet46 RX-OX,Ethernet46 TX-OX,Ethernet47 RX-OX,Ethernet47 TX-OX,Ethernet48 RX-OX,Ethernet48 TX-OX,Ethernet49 RX-OX,Ethernet49 TX-OX,Ethernet50 RX-OX,Ethernet50 TX-OX,Ethernet51 RX-OX,Ethernet51 TX-OX,Ethernet52 RX-OX,Ethernet52 TX-OX,Ethernet53 RX-OX,Ethernet53 TX-OX,Ethernet54 RX-OX,Ethernet54 TX-OX,Ethernet55 RX-OX,Ethernet55 TX-OX,Time
30470,30485,30485,30485,30485,30485,30473,30470,30475,30476,30490,30478,30490,30464,30488,30485,2070,30431,2066,30416,2068,30424,2068,30418,2066,30425,2070,30418,2066,30427,2068,30417,0,0,0,0,0,0,0,0,2088,30479,0,0,0,0,0,0,30485,30485,30485,30492,30478,30492,30485,30491,30478,30491,30476,30488,30488,30473,30488,30485,2066,30424,2068,30432,2066,30430,2068,30435,2068,30430,2070,30428,2068,30437,2068,30429,0,0,0,0,0,0,0,0,0,0,0,0,2087,30460,0,0,0,0,0,0,0,0,0,0,30469,0,0,0,30464,0,2069,21000,Thu 15 Dec 2022 12:45:56 PM UTC
30476,30489,30489,30489,30489,30489,30479,30475,30479,30482,30494,30482,30494,30470,30494,30489,2070,30437,2066,30420,2068,30428,2068,30422,2066,30429,2070,30422,2066,30431,2068,30421,0,0,0,0,0,0,0,0,2089,30484,0,0,0,0,0,0,30489,30489,30491,30497,30482,30496,30489,30496,30483,30497,30482,30494,30494,30479,30494,30490,2066,30429,2068,30438,2066,30435,2068,30440,2068,30435,2070,30433,2068,30442,2068,30434,0,0,0,0,0,0,0,0,0,0,0,0,2088,30467,0,0,0,0,0,0,0,0,0,0,30475,0,0,0,30470,0,2069,21004,Thu 15 Dec 2022 12:46:08 PM UTC
30482,30494,30495,30494,30495,30494,30486,30480,30485,30487,30500,30488,30500,30476,30501,30494,2070,30443,2066,30426,2068,30434,2068,30428,2066,30434,2070,30428,2066,30437,2068,30426,0,0,0,0,0,0,0,0,2089,30489,0,0,0,0,0,0,30495,30494,30498,30503,30488,30501,30495,30501,30488,30501,30489,30500,30501,30485,30501,30494,2066,30434,2068,30444,2066,30440,2068,30445,2068,30440,2070,30438,2068,30447,2068,30439,0,0,0,0,0,0,0,0,0,0,0,0,2088,30471,0,0,0,0,0,0,0,0,0,0,30480,0,0,0,30477,0,2069,21009,Thu 15 Dec 2022 12:46:19 PM UTC
30486,30501,30501,30501,30501,30499,30492,30485,30489,30492,30504,30495,30506,30483,30506,30501,2070,30448,2066,30433,2068,30441,2068,30435,2066,30441,2070,30435,2066,30444,2068,30433,0,0,0,0,0,0,0,0,2090,30494,0,0,0,0,0,0,30499,30501,30504,30510,30492,30507,30499,30506,30492,30506,30495,30505,30506,30492,30506,30501,2066,30441,2068,30450,2066,30447,2068,30452,2068,30447,2070,30445,2068,30454,2068,30446,0,0,0,0,0,0,0,0,0,0,0,0,2089,30476,0,0,0,0,0,0,0,0,0,0,30484,0,0,0,30483,0,2069,21014,Thu 15 Dec 2022 12:46:30 PM UTC
30490,30507,30507,30507,30507,30504,30496,30489,30495,30496,30509,30501,30512,30489,30510,30507,2070,30448,2066,30433,2068,30441,2068,30435,2066,30441,2070,30435,2066,30444,2068,30433,0,0,0,0,0,0,0,0,2090,30499,0,0,0,0,0,0,30504,30507,30510,30516,30498,30513,30504,30510,30498,30510,30500,30509,30510,30496,30510,30507,2066,30441,2068,30450,2066,30447,2068,30452,2068,30447,2070,30452,2068,30454,2068,30446,0,0,0,0,0,0,0,0,0,0,0,0,2089,30480,0,0,0,0,0,0,0,0,0,0,30488,0,0,0,30489,0,2069,21014,Thu 15 Dec 2022 12:46:41 PM UTC
30496,30514,30514,30514,30514,30511,30501,30496,30502,30502,30516,30508,30519,30494,30515,30514,2070,30448,2066,30433,2068,30441,2068,30435,2066,30441,2070,30435,2066,30444,2068,30433,0,0,0,0,0,0,0,0,2090,30505,0,0,0,0,0,0,30511,30514,30515,30521,30505,30520,30511,30517,30505,30517,30505,30514,30515,30501,30515,30514,2066,30441,2068,30450,2066,30447,2068,30452,2068,30447,2070,30452,2068,30454,2068,30446,0,0,0,0,0,0,0,0,0,0,0,0,2089,30486,0,0,0,0,0,0,0,0,0,0,30495,0,0,0,30494,0,2069,21014,Thu 15 Dec 2022 12:46:52 PM UTC
30502,30519,30519,30519,30519,30517,30505,30502,30508,30508,30522,30513,30525,30499,30520,30519,2070,30448,2066,30433,2068,30441,2068,30435,2066,30441,2070,30435,2066,30444,2068,30433,0,0,0,0,0,0,0,0,2091,30512,0,0,0,0,0,0,30517,30520,30520,30526,30511,30526,30517,30523,30511,30523,30510,30520,30520,30506,30520,30520,2066,30441,2068,30450,2066,30447,2068,30452,2068,30447,2070,30452,2068,30454,2068,30446,0,0,0,0,0,0,0,0,0,0,0,0,2090,30493,0,0,0,0,0,0,0,0,0,0,30501,0,0,0,30499,0,2069,21014,Thu 15 Dec 2022 12:47:04 PM UTC
30508,30524,30524,30524,30524,30523,30511,30508,30514,30514,30528,30517,30529,30503,30526,30523,2070,30448,2066,30433,2068,30441,2068,30435,2066,30441,2070,30435,2066,30444,2068,30433,0,0,0,0,0,0,0,0,2091,30518,0,0,0,0,0,0,30523,30524,30524,30530,30517,30530,30523,30529,30517,30529,30514,30526,30526,30511,30526,30524,2066,30441,2068,30450,2066,30447,2068,30452,2068,30447,2070,30452,2068,30454,2068,30446,0,0,0,0,0,0,0,0,0,0,0,0,2090,30499,0,0,0,0,0,0,0,0,0,0,30507,0,0,0,30503,0,2069,21014,Thu 15 Dec 2022 12:47:15 PM UTC
30515,30529,30529,30529,30529,30529,30518,30515,30519,30521,30534,30522,30534,30509,30533,30528,2070,30448,2066,30433,2068,30441,2068,30435,2066,30441,2070,30435,2066,30444,2068,30433,0,0,0,0,0,0,0,0,2091,30523,0,0,0,0,0,0,30529,30529,30530,30536,30522,30535,30529,30535,30522,30535,30521,30533,30533,30518,30533,30529,2066,30441,2068,30450,2066,30447,2068,30452,2068,30447,2070,30452,2068,30454,2068,30446,0,0,0,0,0,0,0,0,0,0,0,0,2090,30505,0,0,0,0,0,0,0,0,0,0,30514,0,0,0,30509,0,2069,21014,Thu 15 Dec 2022 12:47:26 PM UTC
30520,30533,30533,30533,30533,30533,30524,30519,30523,30526,30538,30527,30538,30515,30539,30533,2070,30448,2066,30433,2068,30441,2068,30435,2066,30441,2070,30435,2066,30444,2068,30433,0,0,0,0,0,0,0,0,2092,30528,0,0,0,0,0,0,30533,30533,30536,30542,30526,30539,30533,30539,30526,30539,30527,30539,30539,30524,30539,30533,2066,30441,2068,30450,2066,30447,2068,30452,2068,30447,2070,30452,2068,30454,2068,30446,0,0,0,0,0,0,0,0,0,0,0,0,2091,30510,0,0,0,0,0,0,0,0,0,0,30518,0,0,0,30515,0,2069,21014,Thu 15 Dec 2022 12:47:37 PM UTC
