telemetry,mgmt-framework,snmp,lldp,pmon,radv,syncd,teamd,bgp,swss,database,System CPU%,Time
8.37,0.04,0.84,0.06,5.05,0.04,13.68,0.08,0.08,0.21,7.51,2.9,Wed 14 Dec 2022 01:07:41 PM UTC
0.7,27.84,0.19,2.02,19.44,0.02,9.46,0.05,0.08,0.2,6.33,4.4,Wed 14 Dec 2022 01:07:52 PM UTC
1.19,0.04,0.16,0.08,9.87,0.03,12.58,0.06,0.09,0.21,7.79,2.9,Wed 14 Dec 2022 01:08:03 PM UTC
1.52,0.02,0.36,0.05,5.11,0.04,11.48,0.07,0.08,0.23,6.73,15.3,Wed 14 Dec 2022 01:08:14 PM UTC
1.25,0.04,2.33,0.05,4.83,0.04,10.63,0.08,0.09,0.21,8.15,5.9,Wed 14 Dec 2022 01:08:26 PM UTC
1.36,0.04,9.17,0.05,5.02,0.03,11.65,0.12,0.08,0.88,9.96,4.2,Wed 14 Dec 2022 01:08:37 PM UTC
