Ethernet0 RX-OX,Ethernet0 TX-OX,Ethernet1 RX-OX,Ethernet1 TX-OX,Ethernet2 RX-OX,Ethernet2 TX-OX,Ethernet3 RX-OX,Ethernet3 TX-OX,Ethernet4 RX-OX,Ethernet4 TX-OX,Ethernet5 RX-OX,Ethernet5 TX-OX,Ethernet6 RX-OX,Ethernet6 TX-OX,Ethernet7 RX-OX,Ethernet7 TX-OX,Ethernet16 RX-OX,Ethernet16 TX-OX,Ethernet17 RX-OX,Ethernet17 TX-OX,Ethernet18 RX-OX,Ethernet18 TX-OX,Ethernet19 RX-OX,Ethernet19 TX-OX,Ethernet24 RX-OX,Ethernet24 TX-OX,Ethernet25 RX-OX,Ethernet25 TX-OX,Ethernet26 RX-OX,Ethernet26 TX-OX,Ethernet27 RX-OX,Ethernet27 TX-OX,Ethernet28 RX-OX,Ethernet28 TX-OX,Ethernet29 RX-OX,Ethernet29 TX-OX,Ethernet30 RX-OX,Ethernet30 TX-OX,Ethernet31 RX-OX,Ethernet31 TX-OX,Ethernet32 RX-OX,Ethernet32 TX-OX,Ethernet33 RX-OX,Ethernet33 TX-OX,Ethernet34 RX-OX,Ethernet34 TX-OX,Ethernet35 RX-OX,Ethernet35 TX-OX,Time
1146733,1224755,1146666,1224869,1671046,8238200,1146702,1224931,1146531,1224739,1146605,1224779,1146567,1224755,1146684,1224915,1146648,1224868,1146621,1224827,1146618,1224879,1146622,1224824,775280,754001,775375,753947,789384,771079,974328,1049299,775822,754396,776826,753723,775403,753854,776886,754538,774518,753374,775336,753122,776357,751158,776407,753151,Wed 30 Nov 2022 01:11:32 AM UTC
1146796,1224824,1146729,1224938,1671138,8239232,1146766,1225001,1146589,1224802,1146670,1224850,1146625,1224818,1146747,1224985,1146711,1224937,1146682,1224894,1146683,1224950,1146687,1224895,775319,754040,775414,753986,789421,771116,974380,1049357,775859,754433,776863,753760,775440,753891,776925,754577,774555,753411,775375,753161,776396,751197,776446,753190,Wed 30 Nov 2022 01:12:02 AM UTC
1146863,1224897,1146796,1225011,1671237,8240346,1146833,1225074,1146655,1224874,1146737,1224923,1146690,1224889,1146814,1225058,1146778,1225010,1146749,1224967,1146748,1225021,1146752,1224966,775362,754083,775459,754031,789466,771161,974435,1049418,775904,754478,776908,753805,775485,753936,776968,754620,774600,753456,775420,753206,776439,751240,776489,753233,Wed 30 Nov 2022 01:12:34 AM UTC
1146912,1224950,1146845,1225064,1671313,8241243,1146880,1225125,1146710,1224934,1146784,1224974,1146746,1224950,1146863,1225111,1146827,1225063,1146800,1225022,1146797,1225074,1146801,1225019,775399,754120,775496,754068,789503,771198,974479,1049466,775941,754515,776945,753842,775522,753973,777005,754657,774637,753493,775457,753243,776476,751277,776526,753270,Wed 30 Nov 2022 01:13:01 AM UTC
1146991,1225025,1146924,1225139,1671440,8242504,1146973,1225216,1146790,1225010,1146877,1225065,1146827,1225027,1146942,1225186,1146908,1225142,1146879,1225097,1146880,1225153,1146884,1225098,775458,754169,775555,754117,789562,771247,974548,1049531,776000,754564,777004,753891,775581,754022,777064,754706,774696,753542,775516,753292,776535,751326,776585,753319,Wed 30 Nov 2022 01:13:38 AM UTC
1147052,1225092,1146985,1225206,1671514,8243386,1147022,1225269,1146844,1225069,1146927,1225119,1146879,1225084,1147003,1225253,1146967,1225205,1146938,1225162,1146937,1225216,1146941,1225161,775493,754204,775588,754150,789595,771280,974597,1049586,776030,754597,777037,753924,775614,754055,777099,754741,774729,753575,775549,753325,776570,751361,776620,753354,Wed 30 Nov 2022 01:14:02 AM UTC
1147099,1225143,1147032,1225257,1671586,8244250,1147069,1225320,1146898,1225128,1146974,1225170,1146934,1225144,1147050,1225304,1147014,1225256,1146988,1225216,1146984,1225267,1146988,1225212,775528,754239,775623,754185,789632,771317,974637,1049630,776061,754634,777074,753961,775651,754092,777134,754776,774766,753612,775584,753360,776605,751396,776655,753389,Wed 30 Nov 2022 01:14:27 AM UTC
1147145,1225192,1147076,1225305,1671655,8245044,1147113,1225368,1146942,1225176,1147018,1225218,1146979,1225193,1147095,1225352,1147061,1225306,1147033,1225264,1147030,1225317,1147034,1225262,775558,754269,775653,754215,789660,771345,974675,1049672,776090,754662,777102,753979,775679,754120,777164,754806,774794,753640,775614,753390,776635,751426,776685,753419,Wed 30 Nov 2022 01:14:50 AM UTC
1147197,1225246,1147129,1225360,1671734,8245925,1147164,1225421,1146996,1225232,1147069,1225271,1147029,1225245,1147146,1225405,1147110,1225357,1147085,1225318,1147081,1225370,1147086,1225316,775596,754305,775692,754252,789697,771380,974720,1049719,776129,754699,777139,753998,775716,754155,777201,754841,774831,753675,775651,753425,776672,751461,776724,753456,Wed 30 Nov 2022 01:15:14 AM UTC
1147244,1225297,1147176,1225411,1671813,8246778,1147223,1225486,1147042,1225282,1147128,1225336,1147078,1225298,1147193,1225456,1147160,1225412,1147132,1225369,1147132,1225425,1147145,1225381,775629,754338,775725,754285,789730,771413,974760,1049763,776162,754732,777172,754015,775749,754188,777234,754874,774864,753708,775684,753458,776705,751494,776757,753489,Wed 30 Nov 2022 01:15:38 AM UTC
1147305,1225364,1147237,1225478,1671886,8247633,1147270,1225537,1147096,1225341,1147175,1225387,1147129,1225354,1147254,1225523,1147218,1225475,1147191,1225434,1147189,1225488,1147192,1225432,775662,754371,775758,754318,789763,771446,974808,1049816,776195,754765,777205,754032,775782,754221,777267,754907,774897,753741,775717,753491,776738,751527,776790,753522,Wed 30 Nov 2022 01:16:02 AM UTC
1147352,1225415,1147284,1225529,1671959,8248509,1147319,1225590,1147150,1225400,1147224,1225440,1147184,1225414,1147301,1225574,1147265,1225526,1147240,1225487,1147236,1225539,1147241,1225485,775697,754406,775795,754355,789800,771483,974849,1049861,776232,754802,777242,754051,775819,754258,777302,754942,774934,753778,775754,753528,776773,751562,776825,753557,Wed 30 Nov 2022 01:16:27 AM UTC
1147398,1225465,1147330,1225579,1672034,8249354,1147365,1225640,1147197,1225451,1147270,1225490,1147230,1225464,1147347,1225624,1147311,1225576,1147286,1225537,1147282,1225589,1147287,1225535,775731,754440,775827,754387,789832,771515,974889,1049905,776264,754834,777274,754067,775851,754290,777336,754976,774966,753810,775786,753560,776807,751596,776859,753591,Wed 30 Nov 2022 01:16:53 AM UTC
1147461,1225534,1147393,1225648,1672120,8250333,1147428,1225709,1147252,1225511,1147333,1225559,1147286,1225525,1147410,1225693,1147374,1225645,1147347,1225604,1147345,1225658,1147350,1225604,775768,754477,775864,754424,789869,771552,974939,1049961,776301,754871,777311,754086,775888,754327,777373,755013,775003,753847,775823,753597,776844,751633,776896,753628,Wed 30 Nov 2022 01:17:20 AM UTC
1147508,1225585,1147440,1225699,1672192,8251180,1147475,1225760,1147306,1225570,1147380,1225610,1147340,1225584,1147457,1225744,1147421,1225696,1147396,1225657,1147392,1225709,1147397,1225655,775803,754512,775899,754459,789906,771589,974979,1050005,776338,754908,777346,754117,775923,754364,777408,755048,775040,753884,775858,753632,776879,751668,776931,753663,Wed 30 Nov 2022 01:17:44 AM UTC
1147553,1225634,1147485,1225748,1672259,8251961,1147520,1225809,1147351,1225619,1147425,1225659,1147386,1225634,1147502,1225793,1147468,1225747,1147441,1225706,1147439,1225760,1147442,1225704,775834,754543,775930,754490,789935,771604,975017,1050047,776367,754937,777375,754146,775952,754393,777439,755079,775069,753913,775889,753663,776910,751699,776962,753694,Wed 30 Nov 2022 01:18:07 AM UTC
1147608,1225683,1147540,1225797,1672337,8252752,1147575,1225858,1147406,1225668,1147480,1225708,1147441,1225683,1147557,1225842,1147523,1225796,1147496,1225755,1147494,1225809,1147497,1225753,775875,754574,775971,754521,789978,771621,975065,1050089,776410,754970,777418,754179,775995,754426,777480,755110,775112,753946,775930,753694,776951,751730,777003,753725,Wed 30 Nov 2022 01:18:30 AM UTC
1147652,1225731,1147584,1225845,1672403,8253516,1147619,1225906,1147450,1225716,1147524,1225756,1147485,1225731,1147603,1225892,1147567,1225844,1147540,1225803,1147538,1225857,1147541,1225801,775903,754602,776001,754551,790006,771649,975102,1050130,776438,754998,777446,754207,776023,754454,777508,755138,775140,753974,775960,753724,776979,751758,777031,753753,Wed 30 Nov 2022 01:18:52 AM UTC
1147697,1225780,1147629,1225894,1672469,8254254,1147664,1225955,1147495,1225765,1147569,1225805,1147529,1225779,1147646,1225939,1147610,1225891,1147585,1225852,1147581,1225904,1147586,1225850,775932,754631,776030,754580,790035,771678,975139,1050171,776467,755027,777475,754236,776052,754483,777537,755167,775169,754003,775989,753753,777008,751787,777060,753782,Wed 30 Nov 2022 01:19:13 AM UTC
