Time,Total,Used,Free,Other
Wed 30 Nov 2022 01:07:01 AM UTC,3899.0,2233.0,214.0,1452.0
Wed 30 Nov 2022 01:07:28 AM UTC,3899.0,2234.0,213.0,1452.0
Wed 30 Nov 2022 01:07:53 AM UTC,3899.0,2250.0,197.0,1452.0
Wed 30 Nov 2022 01:08:14 AM UTC,3899.0,2234.0,212.0,1453.0
Wed 30 Nov 2022 01:08:37 AM UTC,3899.0,2233.0,213.0,1453.0
Wed 30 Nov 2022 01:08:59 AM UTC,3899.0,2237.0,209.0,1453.0
Wed 30 Nov 2022 01:09:23 AM UTC,3899.0,2236.0,210.0,1453.0
Wed 30 Nov 2022 01:09:51 AM UTC,3899.0,2238.0,207.0,1454.0
Wed 30 Nov 2022 01:10:15 AM UTC,3899.0,2238.0,207.0,1454.0
Wed 30 Nov 2022 01:10:44 AM UTC,3899.0,2238.0,207.0,1454.0
Wed 30 Nov 2022 01:11:10 AM UTC,3899.0,2235.0,209.0,1455.0
Wed 30 Nov 2022 01:11:32 AM UTC,3899.0,2234.0,210.0,1455.0
Wed 30 Nov 2022 01:12:02 AM UTC,3899.0,2258.0,185.0,1456.0
Wed 30 Nov 2022 01:12:34 AM UTC,3899.0,2237.0,206.0,1456.0
Wed 30 Nov 2022 01:13:01 AM UTC,3899.0,2237.0,206.0,1456.0
Wed 30 Nov 2022 01:13:38 AM UTC,3899.0,2237.0,206.0,1456.0
Wed 30 Nov 2022 01:14:02 AM UTC,3899.0,2242.0,200.0,1457.0
Wed 30 Nov 2022 01:14:27 AM UTC,3899.0,2239.0,203.0,1457.0
Wed 30 Nov 2022 01:14:50 AM UTC,3899.0,2237.0,205.0,1457.0
Wed 30 Nov 2022 01:15:14 AM UTC,3899.0,2236.0,205.0,1458.0
Wed 30 Nov 2022 01:15:38 AM UTC,3899.0,2239.0,202.0,1458.0
Wed 30 Nov 2022 01:16:02 AM UTC,3899.0,2236.0,204.0,1459.0
Wed 30 Nov 2022 01:16:27 AM UTC,3899.0,2243.0,197.0,1459.0
Wed 30 Nov 2022 01:16:53 AM UTC,3899.0,2236.0,204.0,1459.0
Wed 30 Nov 2022 01:17:20 AM UTC,3899.0,2236.0,204.0,1459.0
Wed 30 Nov 2022 01:17:44 AM UTC,3899.0,2236.0,204.0,1459.0
Wed 30 Nov 2022 01:18:07 AM UTC,3899.0,2270.0,169.0,1460.0
Wed 30 Nov 2022 01:18:30 AM UTC,3899.0,2239.0,199.0,1461.0
Wed 30 Nov 2022 01:18:52 AM UTC,3899.0,2235.0,203.0,1461.0
Wed 30 Nov 2022 01:19:13 AM UTC,3899.0,2237.0,201.0,1461.0
