Ethernet0 RX-OX,Ethernet0 TX-OX,Ethernet1 RX-OX,Ethernet1 TX-OX,Ethernet2 RX-OX,Ethernet2 TX-OX,Ethernet3 RX-OX,Ethernet3 TX-OX,Ethernet4 RX-OX,Ethernet4 TX-OX,Ethernet5 RX-OX,Ethernet5 TX-OX,Ethernet6 RX-OX,Ethernet6 TX-OX,Ethernet7 RX-OX,Ethernet7 TX-OX,Ethernet8 RX-OX,Ethernet8 TX-OX,Ethernet9 RX-OX,Ethernet9 TX-OX,Ethernet10 RX-OX,Ethernet10 TX-OX,Ethernet11 RX-OX,Ethernet11 TX-OX,Ethernet12 RX-OX,Ethernet12 TX-OX,Ethernet13 RX-OX,Ethernet13 TX-OX,Ethernet14 RX-OX,Ethernet14 TX-OX,Ethernet15 RX-OX,Ethernet15 TX-OX,Ethernet16 RX-OX,Ethernet16 TX-OX,Ethernet17 RX-OX,Ethernet17 TX-OX,Ethernet18 RX-OX,Ethernet18 TX-OX,Ethernet19 RX-OX,Ethernet19 TX-OX,Ethernet20 RX-OX,Ethernet20 TX-OX,Ethernet21 RX-OX,Ethernet21 TX-OX,Ethernet22 RX-OX,Ethernet22 TX-OX,Ethernet23 RX-OX,Ethernet23 TX-OX,Ethernet24 RX-OX,Ethernet24 TX-OX,Ethernet25 RX-OX,Ethernet25 TX-OX,Ethernet26 RX-OX,Ethernet26 TX-OX,Ethernet27 RX-OX,Ethernet27 TX-OX,Ethernet28 RX-OX,Ethernet28 TX-OX,Ethernet29 RX-OX,Ethernet29 TX-OX,Ethernet30 RX-OX,Ethernet30 TX-OX,Ethernet31 RX-OX,Ethernet31 TX-OX,Ethernet32 RX-OX,Ethernet32 TX-OX,Ethernet33 RX-OX,Ethernet33 TX-OX,Ethernet34 RX-OX,Ethernet34 TX-OX,Ethernet35 RX-OX,Ethernet35 TX-OX,Ethernet36 RX-OX,Ethernet36 TX-OX,Ethernet37 RX-OX,Ethernet37 TX-OX,Ethernet38 RX-OX,Ethernet38 TX-OX,Ethernet39 RX-OX,Ethernet39 TX-OX,Ethernet40 RX-OX,Ethernet40 TX-OX,Ethernet41 RX-OX,Ethernet41 TX-OX,Ethernet42 RX-OX,Ethernet42 TX-OX,Ethernet43 RX-OX,Ethernet43 TX-OX,Ethernet44 RX-OX,Ethernet44 TX-OX,Ethernet45 RX-OX,Ethernet45 TX-OX,Ethernet46 RX-OX,Ethernet46 TX-OX,Ethernet47 RX-OX,Ethernet47 TX-OX,Ethernet48 RX-OX,Ethernet48 TX-OX,Ethernet49 RX-OX,Ethernet49 TX-OX,Ethernet50 RX-OX,Ethernet50 TX-OX,Ethernet51 RX-OX,Ethernet51 TX-OX,Ethernet52 RX-OX,Ethernet52 TX-OX,Ethernet53 RX-OX,Ethernet53 TX-OX,Ethernet54 RX-OX,Ethernet54 TX-OX,Ethernet55 RX-OX,Ethernet55 TX-OX,Time
2301,2305,2301,2305,2301,2305,2299,2305,2336,2345,2301,2305,2299,2305,2315,2322,2301,2305,2301,2305,2299,2305,2299,2305,2299,2305,2299,2305,2299,2305,2299,2305,0,0,0,0,0,0,0,0,2315,2311,0,0,0,0,0,0,2305,2305,2305,2305,2305,2305,2299,2305,2305,2305,2302,2305,2305,2305,2305,2305,2301,2305,2301,2305,2299,2305,2299,2305,2299,2305,2299,2305,2299,2305,2299,2305,0,0,0,0,0,0,0,0,0,0,0,0,2312,2311,0,0,0,2307,815703327080,2306,0,0,0,0,2303,2305,0,0,2305,2305,2300,2305,Tue 13 Dec 2022 05:11:52 PM UTC
2302,2305,2302,2305,2302,2305,2300,2305,2336,2345,2302,2305,2300,2305,2315,2322,2302,2305,2302,2305,2300,2305,2300,2305,2300,2305,2300,2305,2300,2305,2300,2305,0,0,0,0,0,0,0,0,2315,2311,0,0,0,0,0,0,2306,2305,2306,2305,2306,2305,2300,2305,2306,2305,2303,2305,2306,2305,2306,2305,2302,2305,2302,2305,2300,2305,2300,2305,2300,2305,2300,2305,2300,2305,2300,2305,0,0,0,0,0,0,0,0,0,0,0,0,2312,2311,0,0,0,2307,815703327080,2306,0,0,0,0,2304,2305,0,0,2306,2305,2301,2305,Tue 13 Dec 2022 05:12:03 PM UTC
2302,2306,2302,2306,2302,2306,2300,2306,2336,2345,2302,2306,2300,2306,2315,2322,2302,2306,2302,2306,2300,2306,2300,2306,2300,2306,2300,2306,2300,2306,2300,2306,0,0,0,0,0,0,0,0,2315,2311,0,0,0,0,0,0,2306,2306,2306,2306,2306,2306,2300,2306,2306,2306,2303,2306,2306,2306,2306,2306,2302,2306,2302,2306,2300,2306,2300,2306,2300,2306,2300,2306,2300,2306,2300,2306,0,0,0,0,0,0,0,0,0,0,0,0,2312,2311,0,0,0,2308,815703327080,2307,0,0,0,0,2304,2306,0,0,2306,2306,2301,2306,Tue 13 Dec 2022 05:12:14 PM UTC
2302,2306,2302,2306,2302,2306,2300,2306,2337,2346,2302,2306,2300,2306,2316,2323,2302,2306,2302,2306,2300,2306,2300,2306,2300,2306,2300,2306,2300,2306,2300,2306,0,0,0,0,0,0,0,0,2316,2312,0,0,0,0,0,0,2306,2306,2306,2306,2306,2306,2300,2306,2306,2306,2303,2306,2306,2306,2306,2306,2302,2306,2302,2306,2300,2306,2300,2306,2300,2306,2300,2306,2300,2306,2300,2306,0,0,0,0,0,0,0,0,0,0,0,0,2313,2312,0,0,0,2308,815703327080,2307,0,0,0,0,2304,2306,0,0,2306,2306,2301,2306,Tue 13 Dec 2022 05:12:25 PM UTC
2303,2306,2303,2306,2303,2306,2301,2306,2337,2346,2303,2306,2301,2306,2316,2323,2303,2306,2303,2306,2301,2306,2301,2306,2301,2306,2301,2306,2301,2306,2301,2306,0,0,0,0,0,0,0,0,2316,2312,0,0,0,0,0,0,2307,2306,2307,2306,2307,2306,2301,2306,2307,2306,2304,2306,2307,2306,2307,2306,2303,2306,2303,2306,2301,2306,2301,2306,2301,2306,2301,2306,2301,2306,2301,2306,0,0,0,0,0,0,0,0,0,0,0,0,2313,2312,0,0,0,2308,815703327080,2307,0,0,0,0,2305,2306,0,0,2307,2306,2302,2306,Tue 13 Dec 2022 05:12:36 PM UTC
