telemetry,mgmt-framework,snmp,lldp,pmon,radv,syncd,teamd,bgp,swss,database,System CPU%,Time
1.31,0.07,1.48,0.04,11.61,0.03,12.11,0.33,0.1,0.83,12.53,2.8,Tue 13 Dec 2022 05:11:52 PM UTC
1.35,0.05,5.93,0.05,5.13,0.05,13.23,0.33,0.09,0.21,4.38,13.2,Tue 13 Dec 2022 05:12:03 PM UTC
1.31,0.03,10.99,0.05,11.54,0.04,10.29,0.08,0.06,0.21,6.73,4.2,Tue 13 Dec 2022 05:12:14 PM UTC
8.12,0.02,15.21,0.06,2.34,0.04,11.41,0.08,0.07,0.23,3.42,1.4,Tue 13 Dec 2022 05:12:25 PM UTC
1.08,0.04,13.35,0.04,14.94,0.05,11.42,0.29,0.07,0.99,8.43,6.0,Tue 13 Dec 2022 05:12:36 PM UTC
