Fantray1_1,Fantray2_1,Fantray3_1,PSU1_FAN1,PSU2_FAN1,Time
40,40,40,29,27,Wed 14 Dec 2022 02:13:43 PM UTC
40,40,40,29,27,Wed 14 Dec 2022 02:13:54 PM UTC
40,40,40,29,27,Wed 14 Dec 2022 02:14:05 PM UTC
40,40,40,29,27,Wed 14 Dec 2022 02:14:16 PM UTC
40,40,40,29,27,Wed 14 Dec 2022 02:14:27 PM UTC
40,40,40,29,27,Wed 14 Dec 2022 02:14:39 PM UTC
40,40,40,29,27,Wed 14 Dec 2022 02:14:50 PM UTC
40,40,40,29,27,Wed 14 Dec 2022 02:15:01 PM UTC
40,40,40,29,27,Wed 14 Dec 2022 02:15:12 PM UTC
40,40,40,29,27,Wed 14 Dec 2022 02:15:23 PM UTC
