telemetry,mgmt-framework,snmp,lldp,pmon,radv,syncd,teamd,bgp,swss,database,System CPU%,Time
1.32,0.02,4.5,0.06,18.0,0.08,12.55,0.06,0.08,0.18,8.74,13.0,Wed 14 Dec 2022 02:13:43 PM UTC
1.33,0.06,5.99,0.05,12.0,0.04,12.03,0.08,0.21,0.21,8.41,5.7,Wed 14 Dec 2022 02:13:54 PM UTC
1.41,0.03,6.01,0.06,2.57,0.04,11.95,0.08,7.26,0.19,7.95,2.8,Wed 14 Dec 2022 02:14:05 PM UTC
0.92,0.02,2.68,0.09,4.94,0.03,9.07,0.2,0.11,0.72,38.11,4.1,Wed 14 Dec 2022 02:14:16 PM UTC
1.52,0.02,5.06,0.04,12.75,0.04,12.83,0.1,0.06,0.23,10.01,7.4,Wed 14 Dec 2022 02:14:27 PM UTC
1.37,0.04,8.12,0.04,5.11,0.04,18.74,0.06,0.14,0.19,12.87,2.9,Wed 14 Dec 2022 02:14:39 PM UTC
1.3,0.04,0.24,0.05,12.97,0.03,10.37,0.11,8.28,0.18,3.3,7.0,Wed 14 Dec 2022 02:14:50 PM UTC
1.47,0.04,5.06,0.07,5.07,0.05,12.72,0.41,0.08,1.16,9.34,4.3,Wed 14 Dec 2022 02:15:01 PM UTC
1.38,0.04,5.46,0.06,4.92,0.04,12.43,0.08,0.07,0.22,8.16,3.0,Wed 14 Dec 2022 02:15:12 PM UTC
0.9,0.03,0.52,33.36,4.78,23.76,7.81,0.04,0.04,0.13,22.37,9.9,Wed 14 Dec 2022 02:15:23 PM UTC
