telemetry,mgmt-framework,snmp,lldp,pmon,radv,syncd,teamd,bgp,swss,database,System CPU%,Time
1.23,0.03,10.19,0.22,2.67,0.04,9.08,0.32,0.11,0.21,6.83,7.1,Tue 13 Dec 2022 05:03:37 PM UTC
1.09,0.03,5.2,0.06,11.92,0.04,11.02,0.07,0.05,0.31,3.59,4.3,Tue 13 Dec 2022 05:03:49 PM UTC
1.23,0.07,2.54,0.05,4.67,0.04,12.46,0.08,0.07,0.23,6.76,2.8,Tue 13 Dec 2022 05:04:00 PM UTC
1.34,0.04,1.19,0.05,12.0,0.04,15.54,0.3,0.09,0.91,8.71,2.8,Tue 13 Dec 2022 05:04:11 PM UTC
1.29,0.04,0.71,0.1,9.6,0.04,11.83,0.17,0.14,0.28,8.09,2.9,Tue 13 Dec 2022 05:04:22 PM UTC
