telemetry,mgmt-framework,snmp,lldp,pmon,radv,syncd,teamd,bgp,swss,database,System CPU%,Time
1.41,0.02,0.2,0.14,2.58,0.05,13.0,0.26,0.12,0.81,6.8,2.9,Tue 13 Dec 2022 05:19:57 PM UTC
33.57,27.41,2.93,5.43,17.46,0.03,9.74,0.05,0.12,0.13,4.47,4.2,Tue 13 Dec 2022 05:20:08 PM UTC
1.32,0.04,4.54,0.04,12.44,0.04,13.54,0.08,7.41,0.21,10.02,2.9,Tue 13 Dec 2022 05:20:19 PM UTC
1.14,0.04,0.73,0.05,4.86,0.04,13.42,0.08,0.13,0.23,8.94,4.2,Tue 13 Dec 2022 05:20:30 PM UTC
1.44,0.04,9.44,0.08,9.16,0.04,15.4,0.34,0.07,1.07,7.86,4.3,Tue 13 Dec 2022 05:20:41 PM UTC
